zone_id,category
0,mixed
1,mixed
2,mixed
3,mixed
4,mixed
5,mixed
6,Electricity generation
7,Electricity generation
8,mixed
9,Electricity generation
10,mixed
11,Electricity generation
12,Electricity generation
13,Electricity generation
14,mixed
15,mixed
16,mixed
17,Suitable for heat generation
18,Suitable for heat generation
19,Suitable for heat generation
20,Suitable for heat generation
21,Suitable for heat generation
22,Suitable for heat generation
23,Suitable for heat generation
24,Electricity generation
25,Suitable for heat generation
26,Suitable for heat generation
27,Suitable for heat generation
28,Suitable for heat generation
29,Suitable for heat generation
30,Suitable for heat generation
31,Suitable for heat generation
32,Suitable for heat generation
33,Suitable for heat generation
34,mixed
35,Suitable for heat generation
36,mixed
37,Suitable for heat generation
38,Electricity generation
39,Suitable for heat generation
40,Electricity generation
41,Suitable for heat generation
42,Suitable for heat generation
43,Suitable for heat generation
44,Suitable for heat generation
45,Suitable for heat generation
46,Suitable for heat generation
47,Suitable for heat generation
48,Suitable for heat generation
49,Suitable for heat generation
50,Suitable for heat generation
51,Suitable for heat generation
52,Suitable for heat generation
53,Suitable for heat generation
54,Suitable for heat generation
55,Electricity generation
56,Suitable for heat generation
57,Suitable for heat generation
58,Suitable for heat generation
59,Suitable for heat generation
60,Suitable for heat generation
61,Suitable for heat generation
62,Suitable for heat generation
63,Suitable for heat generation
64,Suitable for heat generation
65,Suitable for heat generation
66,Suitable for heat generation
67,Suitable for heat generation
68,Suitable for heat generation
69,Suitable for heat generation
70,Suitable for heat generation
71,Suitable for heat generation
72,Suitable for heat generation
73,Suitable for heat generation
74,Suitable for heat generation
75,Suitable for heat generation
76,Suitable for heat generation
77,Suitable for heat generation
